AASP101 |<i> Formerly AASP300. </i> The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era.| |Public Policy and the Black Community| REG/P-F/AUD 3  |CORE Behavioral and Social Science (SB) Course.|
AASP200 |A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.| |African Civilization| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
MATH411 |<i> Prerequisite: MATH410 and permission of department. Credit will be granted for only one of the following: MATH411 or MATH412. </i> Continuation of MATH410.| |Advanced Calculus II| REG/P-F/AUD 3 (PermReq) 
MATH412 |<i> Prerequisite: MATH410 and permission of department. Credit will be granted for only one of the following: MATH411 or MATH412. </i> Analysis in several variables, and applications, from a computational perspective.| |Advanced Calculus with Applications| REG/P-F/AUD 3 (PermReq) 
MATH416 |<i> Prerequisite: MATH141 and MATH240; or permission of department. Familiarity with MATLAB is also required. </i> Introduces students to the mathematical concepts arising in signal analysis from the applied harmonic analysis point of view. Topics include applied linear algebra, Fourier series, discrete Fourier transform, Fourier transform, Shannon Sampling Theorem, wavelet bases, multiresolution analysis, and discrete wavelet transform.| |Applied Harmonic Analysis: An Introduction to Signal Processing| REG/P-F/AUD 3  
MATH420 |<i> Prerequisite: MATH241, MATH246, STAT400, MATH240 or MATH461; and permission of department. Also offered as AMSC420. Credit will be granted for only one of the following: AMSC420, MAPL420, or MATH420. </i> The course will develop skills in mathematical modeling through practical experience. Students will work in groups on specific projects involving real-life problems that are accessible to their existing mathematical backgrounds. In addition to the development of mathematical models, emphasis will be placed on the use of computational methods to investigate these models, and effective oral and written presentation of the results.| |Mathematical Modeling| REG 3  |CORE Capstone (CS) Course.|
MATH430 |<i> Prerequisite: MATH141. </i> Hilbert's axioms for Euclidean geometry. Neutral geometry: the consistency of the hyperbolic parallel postulate and the inconsistency of the elliptic parallel postulate with neutral geometry. Models of hyerbolic geometry. Existence and properties of isometries.| |Euclidean and Non-Euclidean Geometries| REG/P-F/AUD 3  
MATH437 |<i> Prerequisite: MATH241; and either MATH240 or MATH461. Recommended: One of the following - MATH403, MATH405, MATH410, MATH432, or MATH436. </i> Introduction to differential forms and their applications, and unites the fundamental theorems of multivariable calculus in a general Stokes Theorem that is valid in great generality. It develops this theory and technique to perform calculations in analysis and geometry. Topics include an introduction to topological spaces, the Gauss-Bonnet Theorem, Gauss's formula for the linking number, and the Cauchy Integral Theorem. Applications include Maxwell's equations of electromagnetism, connections and guage theory, and symplectic geometry and Hamiltonian dynamics.| |Differential Forms| REG/P-F/AUD 3  
MATH446 |<i> Prerequisite: MATH403 or MATH410. </i> Development of a system of axiomatic set theory, choice principles, induction principles, ordinal arithmetic including discussion of cancellation laws, divisibility, canonical expansions, cardinal arithmetic including connections with the axiom of choice, Hartog's theorem, Konig's theorem, properties of regular, singular and inaccessible cardinals.| |Axiomatic Set Theory| REG/P-F/AUD 3  
MATH456 |<i> Prerequisites: Any two 400-level MATH courses; or CMSC330 and CMSC351 and permission of department. Also offered as CMSC456. Credit will be granted for only one of the following: MATH456 or CMSC456. </i> Importance in protecting data in communications between computers. The subject lies on the border between mathematics and computer science. Mathematical topics include number theory and probability. Computer science topics include complexity theory.| Cryptology REG/P-F/AUD 3 (PermReq) 
MATH461 |<i> Prerequisites: MATH141 and one MATH/STAT course for which MATH141 is a prerequisite. This course cannot be used toward the upper level math requirements for MATH/STAT majors. Credit will be granted for only one of the following: MATH240, MATH341, MATH400 or MATH461. </i> Basic concepts of linear algebra. This course is similar to MATH 240, but with more extensive coverage of the topics needed in applied linear algebra: change of basis, complex eigenvalues, diagonalization, the Jordan canonical form.| |Linear Algebra for Scientists and Engineers| REG/P-F/AUD 3  
MATH462 |<i> Prerequisites: MATH241 and MATH246. </i> Linear spaces and operators, orthogonality, Sturm-Liouville problems and eigenfunction expansions for ordinary differential equations. Introduction to partial differential equations, including the heat equation, wave equation and Laplace's equation. Boundary value problems, initial value problems and initial-boundary value problems.| |Partial Differential Equations for Scientists and Engineers| REG/P-F/AUD 3  
MATH463 |<i> Prerequisite: MATH241 or equivalent. </i> The algebra of complex numbers, analytic functions, mapping properties of the elementary functions. Cauchy integral formula. Theory of residues and application to evaluation of integrals. Conformal mapping.| |Complex Variables for Scientists and Engineers| REG/P-F/AUD 3  
MATH464 |<i> Prerequisite: MATH246. </i> Fourier transform, Fourier series, discrete fast Fourier transform (DFT and FFT). Laplace transform. Poisson summations, and sampling. Optional Topics: Distributions and operational calculus, PDEs, Wavelet transform, Radon transform and applications such as Imaging, Speech Proc essing, PDEs of Mathematical Physics, Communcations, Inverse Problems.| |Transform Methods for Scientists and Engineers| REG/P-F/AUD 3  
MATH475 |<i> Prerequisites: MATH240 and MATH241; and permission of department. Also offered as CMSC475. Credit will be granted for only one of the following: MATH475 or CMSC475. </i> General enumeration methods, difference equations, generating functions. Elements of graph theory, matrix representations of graphs, applications of graph theory to transport networks, matching theory and graphical algorithms.| |Combinatorics and Graph Theory| REG/P-F/AUD 3 (PermReq) 
MATH478A  |Selected Topics For Teachers of Mathematics| REG/P-F/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MATH480 |<i> Restricted to middle school teachers. This course cannot be used toward the upper level math requirement for MATH and STAT majors. Prerequisite: MATH214 or equivalent. Not open to students who have completed MATH498C. Credit will be granted for only one of the following: MATH480, MATH483, or MATH498C. Formerly MATH498C. </i> Prepares teachers with elementary certification to teach Algebra 1 in middle school. Focuses on basic algebra concepts and related theoretical ideas. EDCI outreach offering. Department permission required.| |Algebra for Middle School Teachers| REG/P-F/AUD 3  
MATH498A  |Selected Topics in Mathematics| REG/P-F/AUD 1-9 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MATH601 |<i> Prerequisite: MATH 600. </i> Field theory, Galois theory, multilinear algebra. Further topics from: Dedekind domains, Noetherian domains, rings with minimum condition, homological algebra. Course is offered in the spring semester only.| |Abstract Algebra II| REG/AUD 3  
MATH603 |<i> Prerequisite: MATH 600. </i> Ideal theory of Noetherian rings, valuations, localizations, complete local rings, Dedekind domains.| |Commutative Algebra| REG/AUD 3  
MATH608A  |Selected Topics in Algebra| REG/AUD 1-3  |Individual Instruction course: contact department or instructor to obtain section number.|
MATH620 |<i> Prerequisite: MATH 601. </i> Algebraic numbers and algebraic integers, algebraic number fields of finite degree, ideals and units, fundamental theorem of algebraic number theory, theory of residue classes, Minkowski's theorem on linear forms, class numbers, Dirichlet's theorem on units, relative algebraic number fields, decomposition group, inertia group and ramification group of prime ideals with respect to a relatively Galois extension.| |Algebraic Number Theory I| REG/AUD 3  
MATH631 |<i> Prerequisite: MATH 630. </i> Abstract measure and integration theory, metric spaces, Baire category theorem and uniform boundedness principle, Radon-Nikodym theorem, Riesz Representation theorem, Lebesgue decomposition, Banach and Hilbert Spaces, Banach-Steinhaus theorem, topological spaces, Arzela-Ascoli and Stone-Weierstrass theorems, compact sets and Tychonoff's theorem. Course is offered in the spring semester only.| |Real Analysis II| REG/AUD 3  
MATH648A  |Selected Topics in Analysis| REG/AUD 1-3  |Individual Instruction course: contact department or instructor to obtain section number.|
MATH660 |<i> Prerequisite: MATH 410 or equivalent. </i> Linear transformations, analytic functions, conformal mappings, Cauchy's theorem and applications, power series, partial fractions and factorization, elementary Riemann surfaces, Riemann's mapping theorem.| |Complex Analysis I| REG/AUD 3  
MATH668A  |Selected Topics in Complex Analysis| REG/AUD 1-3  |Individual Instruction course: contact department or instructor to obtain section number.|
MATH671 |<i> Prerequisites: MATH630; and AMSC/MATH/MAPL670 or equivalent. Also offered as AMSC671. Credit will be granted for only one of the following: AMSC671, MAPL671 or MATH671. </i> The content of this course varies with the interests of the instructor and the class. Stability theory, control, time delay systems, Hamiltonian systems, bifurcation theory, and boundary value problems, and the like.| |Ordinary Differential Equations II| REG/AUD 3  
MATH674 |<i> Prerequisite: AMSC/MATH/MAPL673 or permission of instructor. Also offered as AMSC674. Credit will be granted for only one of the following: AMSC674, MAPL674 or MATH674. </i> Boundary value problems for elliptic partial differential equations via operator-theoretic methods. Hilbert spaces of functions. Duality, weak convergence. Sobolev spaces. Spectral theory of compact operators. Eigenfunction expansions. Course is offered in the spring semester only.| |Partial Differential Equations II| REG/AUD 3  
MATH689  |Research Interactions in Mathematics| REG/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MATH713 |<i> Prerequisite: MATH 712 or MATH 447. </i> Incompleteness and undecidability results of Godel, Church, Tarski and others. Recursive function. Basic proof theory and axiomatic set theory. Course is offered in the spring semester only.| |Mathematical Logic II| REG/AUD 3  
MATH718A  |Selected Topics in Mathematical Logic| REG/AUD 1-3  |Individual Instruction course: contact department or instructor to obtain section number.|
MATH734 |<i> Prerequisite: MATH 403 or equivalent. Recommended: MATH 730. </i> Singular homology and cohomology, cup products, Poincare duality, Eilenberg-Steenrod axioms, Whitehead and Hurewicz theorems, universal coefficient theorem, cellular homology. Course is offered in the spring semester only.| |Algebraic Topology| REG/AUD 3  
MATH742 |<i> Prerequisites: {MATH 410; and MATH 411} or equivalent. </i> Inverse and implicit function theorems, Sard's theorem, orientability, degrees, smooth vector bundles, imbeddings and immersions, transversality approximation theorems and applications, isotopy extension theorem, tubular neighborhoods.| |Differential Topology| REG/AUD 3  
MATH748A  |Selected Topics in Geometry and Topology| REG/AUD 3  |Individual Instruction course: contact department or instructor to obtain section number.|
MATH799  |Master's Thesis Research| REG/S-F 1-6  |Individual Instruction course: contact department or instructor to obtain section number.|
MATH898  |Pre-Candidacy Research| REG/S-F 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
MATH899  |Doctoral Dissertation Research| REG/S-F 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MEES611 |<i> Prerequisite: permission of instructor. </i> A broad systems perspective on the important components and processes of estuarine ecosystems, with quantitative and/or mathematical treatment toward development of representative models for estuarine dynamics. Course is taught at the Horn Point Laboratory and on the Interactive Video Network.| |Estuarine Systems Ecology| REG/AUD 3  
MEES627 |<i> Prerequisite: MEES 626 or permission of instructor. Credit will be granted for only one of the following: MEES 627 or MEES 698K. Formerly MEES698K. </i> Detailed examination of aquatic geochemical cycles, including inorganic and organic geochemistry. Topics include global biogeochemical cycles, estuarine cycling, redox cycles, radiochemistry, stable isotope biogeochemistry and sediment biogeochemistry/diagenesis. Course is taught on the Interactive Video Network| |Environmental Geochemistry II| REG/AUD 3  
MEES661 |<i> Prerequisite: one year of calculus and one year of physics or permission of instructor. </i> General introduction to the physical oceanography of estuarine and marine systems. Physical characteristics of seawater, heat and mass transport, major ocean currents, basic dynamical oceanography, surface waves, tides, turbulence, sediment transport, estuarine circulation. Course is taught at the Horn Point Laboratory and on the Interactive Video Network.| |Physics of Estuarine and Marine Environments| REG/AUD 3  
MEES699  |Special Problems in Marine-Estuarine-Environmental Sciences| REG/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MEES799  |Masters Thesis Research| REG 1-6  |Individual Instruction course: contact department or instructor to obtain section number.|
MEES898  |Pre-Candidacy Research| REG 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
MEES899  |Doctoral Dissertation Research| REG 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MIEH600 |<i> Not open to students who have completed HLTH761. Credit will be granted for only one of the following: HLTH761 or MIEH600. Formerly HLTH761. </i> Overview of the chemical, physical and biological hazards present in our  living and working environment and their effects on human health. Topics include: exposure assessment, industrial hygiene and safety, pesticides, community and indoor pollution, food-borne diseases, solid and hazardous wastes, water resources, risk assessement, ecological issues and environmental laws.| |Foundations of Environmental Health| REG/AUD 3  
MIEH720 |<i> Prerequisite: MIEH600. Recommended: some coursework in chemistry and/or biology. </i> Overview of toxicology, including exposure pathways, toxicokinetics, dermal toxicants, carcinogens, and genetic, reproductive, immuno-, nuero-, target organs, complex mixtures, structure-activity analysis, and determinants of hypo- and hyper-susceptibility. Case studies of global national and regional interest.| |Principles of Toxicology| REG/AUD 3  
MIEH771 |<i> Prerequisite: MIEH600 and EPIB650. </i> Approaches and methods for determining exposure to environmental contaminants. Biomonitoring and genetic methods to detect recent exposures. Optimizing exposure assessment.| |Exposure Assessment of Environmental Hazards| REG/AUD 3  
MIEH780 |<i> Prerequisite: MIEH600. </i> Distinctions between injury, illness, and disease, as well as between ambient and occupational environments. In-depth discussion of major environmental and occupational diseases by organ system, and their etiology, characterization, treatment and prevention.| |Environmental and Occupational Diseases| REG/AUD 3  
MIEH785 |<i> Prerequisite: permission of department. </i> Internship and seminar providing an opportunity to apply previously acquired knowledge and skills in a health or allied health organization. Setting of the internship will depend upon the student's background and career goals.| |Internship in Public Health| REG/AUD 3  
MIEH786 |<i> Prerequisite: permission of department. </i> Capstone experience provding opportunity to apply knowledge and skills to a specific public health problem or issue. Completion of project relevant to public health under the direction of an advisor.| |Captsone Project in Public Health| REG/AUD 3  
MIEH788  |Critical Readings in Environmental Health| REG/AUD 1-3  
MIEH789  |Independent Study| REG/AUD 1-6 (PermReq) 
MIEH799  |Master's Thesis Research| REG/S-F 1-6  |Individual Instruction course: contact department or instructor to obtain section number.|
MOCB699  |Laboratory Rotation| S-F 2-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MOCB898  |Pre-Candidacy Research| S-F 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
MOCB899  |Doctoral Dissertation Research| S-F 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MUED155 |<i> Open to students majoring in pre-early childhood education, pre-elementary education, elementary education or childhood education. </i> The fundamentals of music theory and practice, related to the needs of the classroom and the kindergarten teacher.| |Fundamentals for the Classroom Teacher| REG/P-F/AUD 3  
MUED187 |<i> Prerequisite: MUED186. For MUED majors only. </i> Regular on-site school visitation at elementary, middle and high school levels arranged to expand student understandings and reflections of music instruction in classroom settings.| |Pre-Professional Experiences II| REG/P-F/AUD 1  
MUED216 |<i> For MUED majors only. </i> Playing experience on percussion instruments. Historical and acoustical background. Scoring for percussion. Principles of improvisation. Basic concepts of teaching. Methods and materials. Techniques of individual and class instruction.| |Percussion Technique and Pedagogy| REG/P-F/AUD 2  
MUED217 |<i> For MUED majors only. </i> Playing experience on instruments of the brass family. Historical and acoustical background. Principles of improvisation. Basic concepts of teaching. Methods and materials. Techniques of individual and class instruction.| |Brass Instrument Technique and Pedagogy| REG/P-F/AUD 2  
MUED222 |<i> Prerequisite: MUED186 and MUED187. For MUED majors only. </i> An introduction to the fundamentals of classroom instruments technique and pedagogy for the choral and general teacher.| |Classroom Instruments Technique and Pedagogy| REG/P-F/AUD 2  
MUED311 |<i> For MUED majors only. </i> Prepare instrumental-emphasis music education majors to synthesize the knowledge and skills that will enable them to teach fundamental musical skills at the elementary level.| |Foundations of Elementary Instrumental Instruction| REG/P-F/AUD 2  
MUED411 |<i> Prerequisites: MUED311 and MUED320. Corequisite: MUED489. For MUED majors only. </i> Prepare instrumental-emphasis music education majors to synthesize the knowledge and skills that will enable them to develop and/or maintain an exemplary curricular-oriented, research-based, comprehensive elementary instrumental music program.| |Advanced Methods in Elementary Instrumental Music Instruction| REG 2  
MUED472 |<i> Prerequisite: MUED471. Corequisite: MUED489. For MUED majors only. </i> Preparation for teaching choral classes through the integration of conducting technique, vocal pedagogy, knowledge of repertoire, and the application of appropriate instructional strategies in the context of peer teaching and field experience assignments.| |Choral Methods| REG/AUD 2 (PermReq) 
MUED473 |<i> For MUED majors only. </i> Introduction to current trends, materials and approaches in secondary general music instruction.| |Secondary General Music Methods| REG/P-F/AUD 2  
MUED474 |<i> Prerequisite: MUED411 and MUED420; or MUED471 and MUED472; and permission of department. Senior standing. </i> Field experiences to fulfill teaching requirements in K-12 music teacher education program.| |Field Experiences: Pre-Student Teaching| REG 1  
MUED484 |<i> Prerequisites: Admission to teacher education program and permission of department. Corequisite: MUED494. For MUED majors only. </i> Fulfills elementary teaching requirements in K-12 music teacher education program. Limited to music education majors who have previously applied.| |Student Teaching in Elementary School: Music| S-F 4-6  
MUED489C |Prerequisite: permission of department. Restricted to music education majors only. Repeatable to 6 credits.| |Field Experiences| REG/P-F/AUD 1 (PermReq) 
MUED489I |Prerequisite: permission of department. Restricted to music education majors only. Repeatable to 6 credits.| |Field Experiences| REG/P-F/AUD 1 (PermReq) 
MUED494 |<i> Prerequisite: admission to teacher education program and permission of department. Corequisite: MUED484. For MUED majors only. </i> Fulfill secondary teaching requirements in K-12 music teacher education program. Limited to music education majors who have previously applied.| |Student Teaching in Secondary School: Music| S-F 4-6  
MUED692 |<i> Prerequisite: permission of department. </i> An introduction to historical, sociological, and philosophical perspectives of music education.| |Foundations and Perspectives of Music Education| REG/AUD 3  
MUET620 |<i> Recommended: Seminar in transcription. </i> Development of skills for auditory analysis of diverse musical systems.| |Analysis of World Music| REG 3  
MUET661 |<i> Prerequisite: MUET660. </i> Advanced training in field research techniques and issues including multimedia recording and data management, interview and survey techniques, grant writing, and research ethics.| |Field Methods in Ethnomusicology II| REG 3  
MUSC099  |Performance Attendance| S-F No  
MUSC100 |A laboratory course involving a variety of voices and vocal problems. Principles of correct breathing as applied to singing; fundamentals of tone production and diction. Repertoire of folk songs and songs of the Classical and Romantic periods. Development of students' voices.| |Beginning Class Voice| REG/P-F/AUD 2  
MUSC103 |<i> Prerequisite: MUSC102 or permission of department. </i> Functional piano training for beginners. Development of techniques useful for school and community playing. Basic piano techniques; chord, arpeggio, and scale techniques; melody and song playing; simple accompaniments, improvisation for accompaniments and rhythms; sight reading and transposition, and playing by ear. MUSC 103 is a continuation of MUSC 102; elementary repertoire is begun. Limited to music majors.| |Beginning Class Piano II| REG/AUD 2 (PermReq) 
MUSC106 |Introduction to classical guitar notation, technique, literature and performance. No previous musical experience required.| |Beginning Classical Guitar| REG/P-F/AUD 2  
MUSC126 |<i> Prerequisite: permission of department. </i> Augmentation of private voice study. Phonetics and diction for singers of English and Latin vocal literature.| |Vocal Diction: English and Latin| REG/P-F/AUD 1 (PermReq) 
MUSC128  |Sight Reading For Pianists| REG/P-F/AUD 2 (PermReq) 
MUSC130 |<i> Open to all students except music and music education majors. </i> A study of the principles upon which music is based, and an introduction to the musical repertory performed in America today.| |Survey of Music Literature| REG/P-F/AUD 3  |CORE History or Theory of Arts (HA) Course.|
MUSC130H |<i> Open to all students except music and music education majors. </i> For general honors students only.| |Survey of Music Literature| REG/P-F/AUD 3  |CORE History or Theory of Arts (HA) Course.|
MUSC140 |<i> Limited to non-music majors. </i> Introductory theory course. Notation, scales, intervals, triads, rhythm, form and basic aural skills.| |Music Fundamentals I| REG/AUD 3  |CORE History or Theory of Arts (HA) Course.|
MUSC151 |<i> Prerequisite: a grade of C or better in MUSC150. </i> A continuation of MUSC150, including study of more advanced harmonic techniques of the eighteenth century, such as modulation and chromatic harmonies. Emphasis on sight singing, ear training, analysis and compositional skills.| |Theory of Music II| REG/AUD 3 (PermReq) 
MUSC203 |<i> Prerequisite: MUSC202 or equivalent piano training. </i> Advanced keyboard techniques. Continuation of skills introduced in MUSC202. Transposition, modulation and sight reading; methods of teaching functional piano. Development of style in playing accompaniments and in playing for community singing. More advanced repertory.| |Intermediate Class Piano II| REG/P-F/AUD 2  
MUSC205 |A historical survey of rock music (blues, rock, soul, metal, rap, etc.) from circa 1950 to the present, with emphasis on popular music as music and popular music as social history.| |History of Popular Music, 1950-Present| REG/P-F/AUD 3  |CORE History or Theory of Arts (HA) Course.|
MUSC226 |<i> Prerequisite: permission of department. For MUSC majors only. </i> Augmentation of private voice study. Phonetics and diction for singers of French vocal literature.| |Vocal Diction: French| REG/P-F/AUD 1 (PermReq) 
MUSC228  |Introduction to Accompanying for Pianists| REG/P-F/AUD 2  
MUSC230 |<i> Prerequisite: MUSC250 or equivalent; and permission of department. </i> A historical study of western music from Corelli through Beethoven.| |History of Music I| REG/P-F/AUD 3 (PermReq) 
MUSC251 |<i> Prerequisite: a grade of C or better in MUSC250. </i> A continuation of MUSC250, concentrating on late nineteenth-century chromatic harmony and an introduction to twentieth-century melody and harmony. Emphasis on sight singing, ear training, analysis and compositional skills.| |Advanced Theory of Music II| REG/AUD 4 (PermReq) 
MUSC330 |<i> Prerequisite: MUSC250 or equivalent; and permission of department. </i> A historical study of western music from the Romantic era to the present.| |History of Music II| REG/P-F/AUD 3 (PermReq) 
MUSC331 |<i> Prerequisite: MUSC230, MUSC330, and permission of department. </i> A historical study of western music from Antiquity through the Baroque, ending with a review of all periods of music history.| |History of Music III| REG/P-F/AUD 3 (PermReq) 
MUSC346 |<i> Prerequisite: MUSC345 or permission of department. </i> Continuation of MUSC345 including scoring and transcription.| |Jazz Theory and Improvisation II| REG/P-F/AUD 3  
MUSC379  |Opera Workshop| REG/P-F 1 (PermReq) 
MUSC386 |<i> Prerequisite: permission of department. Junior standing. </i>| |Experiential Learning| REG/P-F 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MUSC388  |Music Internship| REG 3 (PermReq) 
MUSC389  |Music Internship Analysis| REG 1 (PermReq) 
MUSC400S |<i> Prerequisite: MUSP315; and permission of department. </i>| |Music Pedagogy| REG/P-F/AUD 3 (PermReq) 
MUSC400V |<i> Prerequisite: MUSP315; and permission of department. </i>| |Music Pedagogy| REG/P-F/AUD 3 (PermReq) 
MUSC428  |Repertoire Coaching of Vocal or Chamber Music| REG/P-F/AUD 2  
MUSC436 |Major styles and influential artists of the past 75 years of jazz.| |Jazz: Then and Now| REG/P-F/AUD 3  
MUSC444 |<i> Prerequisite: permission of department. Corequisite: MUSP419 or MUSP420. </i> Recital program notes and written projects in wind or percussion literature.| |Wind and Percussion Literature| REG/P-F/AUD 1 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MUSC446 |<i> Prerequisite: MUSP316 and permission of department. </i> Recital program notes and written projects in string literature.| |String Literature| REG/P-F/AUD 1 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MUSC448  |Selected Topics in Music| REG/P-F/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MUSC450 |<i> Prerequisite: MUSC251. </i> A study of the principles of organization in music with emphasis on eighteenth and nineteenth century European music. Reading and analysis of scores exemplifying the musical forms.| |Musical Form| REG/P-F/AUD 3 (PermReq) 
MUSC463 |A hands-on study of computer hardware and software that makes use of the MIDI (Musical Instrument Digital Interface) specification. This protocol allows computers, synthesizers and various other devices to send and receive information about musical performance, notation and sound. The course focuses on two of the most frequently used applications on MIDI -- sequencing and music notation. Also included is an introduction to digital audio. No previous experience with computers is required. Ability to read music on a grand staff (treble and bass clef) is recommended.| |Applications in Music Technology| REG/P-F/AUD 3 (PermReq) 
MUSC468  |Piano Pedagogy II| REG/P-F/AUD 3  
MUSC486 |<i> Prerequisite: MUSC251 and permission of department. </i> A study of the ranges, musical functions and technical characteristics of the instruments and their color possibilities in various combinations. Practical experience in orchestrating for small and large ensembles.| |Orchestration I| REG/P-F/AUD 3  
MUSC490 |<i> Prerequisite: MUSC251. </i> Vocal and instrumental baton techniques.| Conducting REG 2 (PermReq) 
MUSC491 |<i> Prerequisite: MUSC490 or equivalent. </i> Baton techniques applied to score reading, rehearsal techniques, tone production, style and interpretation. Concurrent registration in MUED472.| |Conducting II| REG/AUD 2 (PermReq) 
MUSC499  |Independent Studies| REG/P-F/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MUSC602 |<i> Prerequisite: admission to graduate voice program or permission of instructor. For music majors only. </i> Concepts, strategies and techniques for singing operatic and song literature in Italian: syllabification, vowels, stressed and unstressed syllables, dipthongs, glides and elisions, single and double consonants with emphasis on current performance practices.| |Advanced Italian Lyric Diction| REG/AUD 1 (PermReq) 
MUSC603 |<i> Prerequisite: admission to graduate voice program or permission of instructor. For music majors only. </i> Concepts, strategies and techniques for singing operatic and song literature in German: single and double consonants, the use of the glottal, the German closed (e) and (o) vowels, the "schwa" and consonant clusters. Mastery of the International Phonetic Alphabet (IPA) as it applies to "Hochdeutsch" will be expected.| |Advanced German Lyric Diction| REG/AUD 1  
MUSC606 |<i> Prerequisite: MUSC 605 or permission of instructor. For MUSC majors only. </i> Continuation of MUSC 605. Advanced vocal coaching of selections from the Italian, French, German and English opera repertory: musical accuracy, language facility; diction clarity; and dramatic interpretation.| |Opera Repertory II| REG/AUD 1  
MUSC612 |<i> Prerequisites: MUSC 611 with a grade of B or better and permission of Director of Opera. Corequisite: MUSC 602. For MUSC majors only. </i> Continuation of MUSC 611. Techniques for opera performance: Scene Study II; Movement II; and Mask.| |Opera Techniques II| REG/AUD 2 (PermReq) 
MUSC614 |<i> Prerequisites: MUSC 613 with a grade of B or better and permission of Director of Opera. Corequisites: MUSC 604 and MUSC 606. For MUSC majors only. </i> Continuation of MUSC 613. Techniques for opera performance: Scene Study IV and Movement IV.| |Opera Techniques IV| REG/AUD 2 (PermReq) 
MUSC642 |Aspects of notation in music before 1600; transcription into modern notation.| |Early Music Notation| REG/AUD 3  
MUSC644 |<i> Prerequisite: MUSC 643 or equivalent. </i> A continuation of MUSC 643 with an emphasis on areas of individual interest.| |Seminar in Solo Vocal Literature II| REG/AUD 3  
MUSC645 |<i> Prerequisite: MUSC 400 or equivalent. </i> A study of the physiological, psychological and acoustical aspects of the teaching of singing combined with independent study and research in areas of individual interest. Advanced special students require department authorization.| |Seminar in Vocal Pedagogy| REG/AUD 3 (PermReq) 
MUSC659  |Seminar in Choral Repertoire and Pedagogy| REG/AUD 2  
MUSC671 |<i> Prerequisite: MUSC 451 or permission of department. </i> Analysis of representative masterpieces of the nineteenth and early twentieth centuries.| |Advanced Analytical Techniques II| REG/AUD 3  
MUSC689 |Advanced special students require department authorization. Limited to conducting majors only.| |Advanced Conducting| REG/AUD 3 (PermReq) 
MUSC699  |Selected Topics in Music| REG/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MUSC799  |Master's Thesis Research| REG 1-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
MUSC800A |<i> Prerequisites: MUSC 400 or equivalent, doctoral standing and permission of instructor. </i>| |Advanced Seminar in Music Pedagogy| REG/AUD 3  
MUSC801S |<i> Prerequisites: MUSC 400 or equivalent, doctoral standing and permission of instructor. </i>| |Advanced Seminar in Music Pedagogy| REG/AUD 3  
MUSC801W |<i> Prerequisites: MUSC 400 or equivalent, doctoral standing and permission of instructor. </i>| |Advanced Seminar in Music Pedagogy| REG/AUD 3  |Individual Instruction course: contact department or instructor to obtain section number.|
MUSC812 |<i> Prerequisite: MUSC811 and permission of department. Credit will be granted for only one of the following: MUSC612 or MUSC812. </i> Continuation of MUSC811. Techniques for opera preformance: Scene Study II; Acting II; Movement II: Stage Combat I; and Mask; and methodology seminar.| |Doctoral Opera Techniques II| REG/AUD 2  
MUSC814 |<i> Prerequisite: MUSC813 and permission of department. Credit will be granted for only one of the following: MUSC614 or MUSC814. </i> Continuation of MUSC813. Techniques for opera performance: Scene Study IV; Dance II; Movement IV; and methodology seminar.| |Doctoral Opera Techniques IV| REG/AUD 2  
MUSC831A |<i> Prerequisite: MUSC 830 or permission of instructor. </i>| |Doctoral Seminar in Music Literature| REG/AUD 3  
MUSC831P |<i> Prerequisite: MUSC 830 or permission of instructor. </i>| |Doctoral Seminar in Music Literature| REG/AUD 3  
MUSC831V |<i> Prerequisite: MUSC 830 or permission of instructor. </i>| |Doctoral Seminar in Music Literature| REG/AUD 3  
MUSC831W |<i> Prerequisite: MUSC 830 or permission of instructor. </i>| |Doctoral Seminar in Music Literature| REG/AUD 3  |Individual Instruction course: contact department or instructor to obtain section number.|
